id_estudiante,año_lectivo,nivel_educativo,zona_residencia,departamento
1,2018,Primer Ciclo,Rural,La Libertad
2,2018,Segundo Ciclo,Urbana,San Salvador
3,2018,Tercer Ciclo,Rural,Usulután
4,2018,Educación Media,Urbana,San Salvador
5,2018,Primer Ciclo,Rural,Cabañas
6,2018,Segundo Ciclo,Urbana,Santa Ana
7,2018,Tercer Ciclo,Rural,Morazán
8,2018,Educación Media,Urbana,La Libertad
9,2018,Primer Ciclo,Rural,San Miguel
10,2018,Segundo Ciclo,Urbana,San Salvador
11,2018,Tercer Ciclo,Rural,Chalatenango
12,2018,Educación Media,Urbana,Santa Ana
13,2019,Primer Ciclo,Rural,La Paz
14,2019,Segundo Ciclo,Urbana,San Salvador
15,2019,Tercer Ciclo,Rural,Ahuachapán
16,2019,Educación Media,Urbana,San Salvador
17,2019,Primer Ciclo,Rural,Sonsonate
18,2019,Segundo Ciclo,Urbana,La Libertad
19,2019,Tercer Ciclo,Rural,Cuscatlán
20,2019,Educación Media,Urbana,Santa Ana
21,2019,Primer Ciclo,Rural,San Vicente
22,2019,Segundo Ciclo,Urbana,San Salvador
23,2019,Tercer Ciclo,Rural,La Unión
24,2019,Educación Media,Urbana,San Miguel
25,2019,Primer Ciclo,Rural,Morazán
26,2020,Primer Ciclo,Rural,Chalatenango
27,2020,Segundo Ciclo,Urbana,San Salvador
28,2020,Tercer Ciclo,Rural,Cabañas
29,2020,Educación Media,Urbana,San Salvador
30,2020,Primer Ciclo,Rural,Usulután
31,2020,Segundo Ciclo,Urbana,Santa Ana
32,2020,Tercer Ciclo,Rural,La Paz
33,2020,Educación Media,Urbana,La Libertad
34,2020,Primer Ciclo,Rural,Ahuachapán
35,2020,Segundo Ciclo,Urbana,San Salvador
36,2020,Tercer Ciclo,Rural,Sonsonate
37,2020,Educación Media,Urbana,San Miguel
38,2020,Primer Ciclo,Rural,Cuscatlán
39,2020,Segundo Ciclo,Urbana,San Salvador
40,2020,Tercer Ciclo,Rural,San Vicente
41,2021,Primer Ciclo,Rural,La Unión
42,2021,Segundo Ciclo,Urbana,San Salvador
43,2021,Tercer Ciclo,Rural,Morazán
44,2021,Educación Media,Urbana,San Salvador
45,2021,Primer Ciclo,Rural,Chalatenango
46,2021,Segundo Ciclo,Urbana,Santa Ana
47,2021,Tercer Ciclo,Rural,Cabañas
48,2021,Educación Media,Urbana,La Libertad
49,2021,Primer Ciclo,Rural,Usulután
50,2021,Segundo Ciclo,Urbana,San Salvador
51,2021,Tercer Ciclo,Rural,La Paz
52,2021,Educación Media,Urbana,San Miguel
53,2018,Segundo Ciclo,Rural,Ahuachapán
54,2018,Tercer Ciclo,Urbana,San Salvador
55,2018,Educación Media,Rural,Sonsonate
56,2018,Primer Ciclo,Urbana,La Libertad
57,2018,Segundo Ciclo,Rural,Cuscatlán
58,2018,Tercer Ciclo,Urbana,Santa Ana
59,2018,Educación Media,Rural,San Vicente
60,2018,Primer Ciclo,Urbana,San Salvador
61,2019,Segundo Ciclo,Rural,La Unión
62,2019,Tercer Ciclo,Urbana,San Salvador
63,2019,Educación Media,Rural,Morazán
64,2019,Primer Ciclo,Urbana,Santa Ana
65,2019,Segundo Ciclo,Rural,Chalatenango
66,2019,Tercer Ciclo,Urbana,San Salvador
67,2019,Educación Media,Rural,Cabañas
68,2019,Primer Ciclo,Urbana,La Libertad
69,2020,Segundo Ciclo,Rural,Usulután
70,2020,Tercer Ciclo,Urbana,San Salvador
71,2020,Educación Media,Rural,La Paz
72,2020,Primer Ciclo,Urbana,San Miguel
73,2020,Segundo Ciclo,Rural,Ahuachapán
74,2020,Tercer Ciclo,Urbana,Santa Ana
75,2020,Educación Media,Rural,Sonsonate
76,2020,Primer Ciclo,Urbana,San Salvador
77,2021,Segundo Ciclo,Rural,Cuscatlán
78,2021,Tercer Ciclo,Urbana,San Salvador
79,2021,Educación Media,Rural,San Vicente
80,2021,Primer Ciclo,Urbana,La Libertad
81,2021,Segundo Ciclo,Rural,La Unión
82,2021,Tercer Ciclo,Urbana,San Salvador
83,2021,Educación Media,Rural,Morazán
84,2021,Primer Ciclo,Urbana,Santa Ana
85,2018,Tercer Ciclo,Rural,Chalatenango
86,2018,Educación Media,Urbana,San Salvador
87,2018,Primer Ciclo,Rural,Cabañas
88,2018,Segundo Ciclo,Urbana,San Miguel
89,2019,Tercer Ciclo,Rural,Usulután
90,2019,Educación Media,Urbana,San Salvador
91,2019,Primer Ciclo,Rural,La Paz
92,2019,Segundo Ciclo,Urbana,La Libertad
93,2020,Tercer Ciclo,Rural,Ahuachapán
94,2020,Educación Media,Urbana,San Salvador
95,2020,Primer Ciclo,Rural,Sonsonate
96,2020,Segundo Ciclo,Urbana,Santa Ana
97,2021,Tercer Ciclo,Rural,Cuscatlán
98,2021,Educación Media,Urbana,San Salvador
99,2021,Primer Ciclo,Rural,San Vicente
100,2021,Segundo Ciclo,Urbana,San Miguel
101,2018,Educación Media,Rural,La Unión
102,2018,Primer Ciclo,Urbana,San Salvador
103,2018,Segundo Ciclo,Rural,Morazán
104,2018,Tercer Ciclo,Urbana,Santa Ana
105,2019,Educación Media,Rural,Chalatenango
106,2019,Primer Ciclo,Urbana,San Salvador
107,2019,Segundo Ciclo,Rural,Cabañas
108,2019,Tercer Ciclo,Urbana,La Libertad
109,2020,Educación Media,Rural,Usulután
110,2020,Primer Ciclo,Urbana,San Salvador
111,2020,Segundo Ciclo,Rural,La Paz
112,2020,Tercer Ciclo,Urbana,San Miguel
113,2021,Educación Media,Rural,Ahuachapán
114,2021,Primer Ciclo,Urbana,San Salvador
115,2021,Segundo Ciclo,Rural,Sonsonate
116,2021,Tercer Ciclo,Urbana,Santa Ana
117,2018,Primer Ciclo,Rural,Cuscatlán
118,2018,Educación Media,Urbana,San Salvador
119,2018,Segundo Ciclo,Rural,San Vicente
120,2018,Tercer Ciclo,Urbana,La Libertad
121,2019,Primer Ciclo,Rural,La Unión
122,2019,Educación Media,Urbana,San Salvador
123,2019,Segundo Ciclo,Rural,Morazán
124,2019,Tercer Ciclo,Urbana,Santa Ana
125,2020,Primer Ciclo,Rural,Chalatenango
126,2020,Educación Media,Urbana,San Salvador
127,2020,Segundo Ciclo,Rural,Cabañas
128,2020,Tercer Ciclo,Urbana,San Miguel
129,2021,Primer Ciclo,Rural,Usulután
130,2021,Educación Media,Urbana,San Salvador
131,2021,Segundo Ciclo,Rural,La Paz
132,2021,Tercer Ciclo,Urbana,La Libertad
133,2018,Segundo Ciclo,Urbana,San Salvador
134,2018,Tercer Ciclo,Rural,Ahuachapán
135,2018,Educación Media,Urbana,Santa Ana
136,2018,Primer Ciclo,Rural,Sonsonate
137,2019,Segundo Ciclo,Urbana,San Salvador
138,2019,Tercer Ciclo,Rural,Cuscatlán
139,2019,Educación Media,Urbana,San Miguel
140,2019,Primer Ciclo,Rural,San Vicente
141,2020,Segundo Ciclo,Urbana,San Salvador
142,2020,Tercer Ciclo,Rural,La Unión
143,2020,Educación Media,Urbana,La Libertad
144,2020,Primer Ciclo,Rural,Morazán
145,2021,Segundo Ciclo,Urbana,San Salvador
146,2021,Tercer Ciclo,Rural,Chalatenango
147,2021,Educación Media,Urbana,Santa Ana
148,2021,Primer Ciclo,Rural,Cabañas
149,2018,Tercer Ciclo,Urbana,San Salvador
150,2018,Educación Media,Rural,Usulután
151,2018,Primer Ciclo,Urbana,San Miguel
152,2018,Segundo Ciclo,Rural,La Paz
153,2019,Tercer Ciclo,Urbana,San Salvador
154,2019,Educación Media,Rural,Ahuachapán
155,2019,Primer Ciclo,Urbana,La Libertad
156,2019,Segundo Ciclo,Rural,Sonsonate
157,2020,Tercer Ciclo,Urbana,San Salvador
158,2020,Educación Media,Rural,Cuscatlán
159,2020,Primer Ciclo,Urbana,Santa Ana
160,2020,Segundo Ciclo,Rural,San Vicente
161,2021,Tercer Ciclo,Urbana,San Salvador
162,2021,Educación Media,Rural,La Unión
163,2021,Primer Ciclo,Urbana,San Miguel
164,2021,Segundo Ciclo,Rural,Morazán
165,2018,Educación Media,Urbana,San Salvador
166,2018,Primer Ciclo,Rural,Chalatenango
167,2018,Segundo Ciclo,Urbana,La Libertad
168,2018,Tercer Ciclo,Rural,Cabañas
169,2019,Educación Media,Urbana,San Salvador
170,2019,Primer Ciclo,Rural,Usulután
171,2019,Segundo Ciclo,Urbana,Santa Ana
172,2019,Tercer Ciclo,Rural,La Paz
173,2020,Educación Media,Urbana,San Salvador
174,2020,Primer Ciclo,Rural,Ahuachapán
175,2020,Segundo Ciclo,Urbana,San Miguel
176,2020,Tercer Ciclo,Rural,Sonsonate
177,2021,Educación Media,Urbana,San Salvador
178,2021,Primer Ciclo,Rural,Cuscatlán
179,2021,Segundo Ciclo,Urbana,La Libertad
180,2021,Tercer Ciclo,Rural,San Vicente
181,2018,Primer Ciclo,Urbana,San Salvador
182,2018,Segundo Ciclo,Rural,La Unión
183,2018,Tercer Ciclo,Urbana,Santa Ana
184,2018,Educación Media,Rural,Morazán
185,2019,Primer Ciclo,Urbana,San Salvador
186,2019,Segundo Ciclo,Rural,Chalatenango
187,2019,Tercer Ciclo,Urbana,San Miguel
188,2019,Educación Media,Rural,Cabañas
189,2020,Primer Ciclo,Urbana,San Salvador
190,2020,Segundo Ciclo,Rural,Usulután
191,2020,Tercer Ciclo,Urbana,La Libertad
192,2020,Educación Media,Rural,La Paz
193,2021,Primer Ciclo,Urbana,San Salvador
194,2021,Segundo Ciclo,Rural,Ahuachapán
195,2021,Tercer Ciclo,Urbana,Santa Ana
196,2021,Educación Media,Rural,Sonsonate
197,2018,Segundo Ciclo,Urbana,San Salvador
198,2018,Tercer Ciclo,Rural,Cuscatlán
199,2018,Educación Media,Urbana,San Miguel
200,2018,Primer Ciclo,Rural,San Vicente
201,2019,Segundo Ciclo,Urbana,San Salvador
202,2019,Tercer Ciclo,Rural,La Unión
203,2019,Educación Media,Urbana,La Libertad
204,2019,Primer Ciclo,Rural,Morazán
205,2020,Segundo Ciclo,Urbana,San Salvador
206,2020,Tercer Ciclo,Rural,Chalatenango
207,2020,Educación Media,Urbana,Santa Ana
208,2020,Primer Ciclo,Rural,Cabañas
209,2021,Segundo Ciclo,Urbana,San Salvador
210,2021,Tercer Ciclo,Rural,Usulután
211,2021,Educación Media,Urbana,San Miguel
212,2021,Primer Ciclo,Rural,La Paz
213,2018,Tercer Ciclo,Urbana,San Salvador
214,2018,Educación Media,Rural,Ahuachapán
215,2018,Primer Ciclo,Urbana,La Libertad
216,2018,Segundo Ciclo,Rural,Sonsonate
217,2019,Tercer Ciclo,Urbana,San Salvador
218,2019,Educación Media,Rural,Cuscatlán
219,2019,Primer Ciclo,Urbana,Santa Ana
220,2019,Segundo Ciclo,Rural,San Vicente
221,2020,Tercer Ciclo,Urbana,San Salvador
222,2020,Educación Media,Rural,La Unión
223,2020,Primer Ciclo,Urbana,San Miguel
224,2020,Segundo Ciclo,Rural,Morazán
225,2021,Tercer Ciclo,Urbana,San Salvador
226,2021,Educación Media,Rural,Chalatenango
227,2021,Primer Ciclo,Urbana,La Libertad
228,2021,Segundo Ciclo,Rural,Cabañas
229,2018,Educación Media,Urbana,San Salvador
230,2018,Primer Ciclo,Rural,Usulután
231,2019,Educación Media,Urbana,San Salvador
232,2019,Primer Ciclo,Rural,La Paz
233,2020,Educación Media,Urbana,San Salvador
234,2020,Primer Ciclo,Rural,Ahuachapán
235,2021,Educación Media,Urbana,San Salvador
236,2021,Primer Ciclo,Rural,Sonsonate
237,2018,Segundo Ciclo,Urbana,Santa Ana
238,2018,Tercer Ciclo,Rural,Cuscatlán
239,2019,Segundo Ciclo,Urbana,San Miguel
240,2019,Tercer Ciclo,Rural,San Vicente
241,2020,Segundo Ciclo,Urbana,La Libertad
242,2020,Tercer Ciclo,Rural,La Unión
243,2021,Segundo Ciclo,Urbana,Santa Ana
244,2021,Tercer Ciclo,Rural,Morazán
245,2018,Educación Media,Urbana,San Salvador
246,2019,Educación Media,Rural,Chalatenango
247,2020,Educación Media,Urbana,San Miguel
248,2021,Educación Media,Rural,Cabañas
249,2018,Primer Ciclo,Urbana,San Salvador
250,2021,Tercer Ciclo,Rural,Usulután
